Ntime,time,Close Price,Open Price,High Price,Low Price,Volume,MACD,CCI,ATR,BOLL,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD,US Dollar Index,Federal Fund Rate
20080828,733648,1300.68,1283.79,1300.68,1283.79,385428,1.635983622,80.43891393,19.02,1276.446154,1280.372735,1280.864,26.14,1282.578,11.09,0.859963244,0.001906695,18105372.7,77.15,1.99
20080829,733649,1282.83,1296.49,1297.59,1282.74,328812,1.57557732,40.17201441,17.94,1277.611154,1280.60676,1279.327,5.11,1280.704,-3,-0.233312335,0.003297397,19494223.7,77.32,1.94
20080902,733653,1277.58,1287.83,1303.04,1272.2,478356,1.091491728,19.19945353,30.84,1278.373462,1280.318498,1279.225,10.74,1282.852,-15.35,-1.588353104,0.008523928,4654483.775,78.03,1.96
20080903,733654,1274.98,1276.61,1280.6,1265.59,505698,0.492376331,-60.78493845,15.01,1279.935385,1279.810069,1280.054,3.47,1283.546,-23.22,-0.283122165,0.000345103,-8286941.117,78.09,2.01
20080904,733655,1236.83,1271.8,1271.8,1232.83,521250,-3.025932044,-213.1143785,42.15,1278.921154,1275.716729,1276.283,-44.83,1274.58,-41.77,-2.357324997,-0.032002317,-9650311.815,78.94,1.99
20080905,733656,1242.31,1233.21,1244.94,1217.23,501708,-5.310806902,-235.3809133,27.71,1277.307692,1272.535136,1272.742,-58.37,1262.906,-24.38,-2.528755473,-0.038608575,-244710.6443,78.88,1.97
20080908,733659,1267.79,1249.5,1274.42,1247.12,735134,-5.007836412,-53.9625401,32.11,1277.323462,1272.083218,1270.301,-15.04,1259.898,-6.75,-0.777165576,0.000749335,18225716.52,79.54,1.92
20080909,733660,1224.51,1267.98,1268.66,1224.51,738063.04,-8.165932622,-149.9726395,44.15,1275.946538,1267.552436,1266.068,-58.32,1249.284,-53.21,-5.238353196,-0.036963925,-7770298.652,79.51,1.96
20080910,733661,1232.04,1227.5,1243.9,1221.6,654344,-9.946481703,-135.541163,22.3,1275.293846,1264.170299,1262.121,-45.54,1240.696,-60.16,-2.746992517,-0.038715416,-8575115.873,80.21,2.12
20080911,733662,1249.05,1229.04,1249.98,1211.54,686924.96,-9.871225493,-96.63423395,38.44,1273.915769,1262.73027,1258.86,-25.93,1243.14,-17.79,-1.766403725,-0.039694621,8285994.363,79.87,2
20080912,733663,1251.7,1245.88,1255.09,1233.81,627326,-9.488375465,-52.19311434,21.28,1272.473846,1261.679768,1253.962,14.87,1245.018,-19.81,-2.337593434,-0.02426666,2521232.635,78.94,2.1
20080915,733666,1192.7,1250.92,1250.92,1192.7,827951.04,-13.78684481,-139.1005285,59,1269.651923,1255.110267,1244.949,-44.13,1230,-88.96,-6.940998393,-0.06643811,-19766632.65,78.49,2.64
20080916,733667,1213.59,1188.31,1214.84,1169.28,945983.04,-15.33103766,-146.1806024,45.56,1266.47,1251.155956,1238.55,-28.72,1227.816,-87.09,-6.695728388,-0.048149775,-1557493.03,79.29,1.98
20080917,733668,1156.39,1210.34,1210.34,1155.88,943187.04,-20.92912565,-178.5395472,57.71,1260.741923,1242.130627,1226.691,-111.4,1212.686,-126.44,-9.856333263,-0.065037232,-18621821.68,78.17,2.8
20080918,733669,1206.51,1157.08,1211.14,1133.5,1008268.96,-21.07840683,-134.4439479,77.64,1257.546538,1238.738186,1223.659,-18,1204.178,-71.07,-5.949346367,-0.028817284,-9017666.062,78.19,2.16
20080919,733670,1255.08,1213.11,1265.12,1213.11,938716.96,-17.08062534,29.93362467,58.61,1256.363846,1240.294549,1224.936,23.04,1204.854,-19.9,-1.761142159,-0.01002532,7937411.618,76.13,1.48
20080922,733673,1207.09,1255.37,1255.37,1205.61,533213,-17.58207146,-20.03849413,49.76,1253.062308,1237.132211,1218.866,-41.96,1207.732,-29.74,-5.324789408,-0.014226099,2434405.441,76.19,1.51
20080923,733674,1188.22,1207.61,1221.15,1187.06,518573,-19.27987601,-76.71284563,34.09,1248.832308,1232.473905,1215.237,-63.48,1202.658,-54.09,-3.930208679,-0.035567027,2405417.975,76.72,1.46
20080924,733675,1185.87,1188.79,1197.41,1179.79,482036,-20.57781547,-91.9436816,17.62,1245.265769,1228.035438,1210.62,-27.72,1208.554,-81.92,-4.543149455,-0.050582443,-3588327.563,77,1.19
20080925,733676,1209.18,1187.87,1220.03,1187.87,587764,-19.5007274,-34.42887543,34.16,1243.053846,1226.239682,1206.633,52.79,1209.088,-15.33,-4.623005387,-0.033969801,2617689.187,77.01,1.23
20080926,733677,1213.01,1204.47,1215.77,1187.54,538361,-18.1290974,-26.71889508,28.23,1240.687308,1224.979712,1202.764,6.5,1200.674,-19.03,-0.939151171,0.016743473,-856314.1316,76.95,1.08
20080929,733680,1106.39,1209.07,1209.07,1106.39,730506,-25.35315826,-196.40227,106.62,1234.097692,1213.685454,1194.133,-100.12,1180.534,-142.66,-9.646307503,-0.088332963,-20713889.97,77.71,1.56
20080930,733681,1166.36,1113.78,1168.03,1113.78,493768,-25.9401785,-140.2736435,61.64,1229.257692,1209.178268,1189.41,-40.15,1176.162,-85.34,-4.748838311,0.008547961,-9228809.49,79.24,2.03
20081001,733682,1161.06,1164.17,1167.03,1140.77,578213,-26.52727209,-101.6020222,26.26,1225.189231,1204.595576,1189.877,-45.45,1171.2,-31.64,-5.181664503,-0.037670637,-15286183.85,79.69,1.15
20081002,733683,1114.28,1160.64,1160.64,1111.43,628564,-30.4166785,-145.1009736,49.63,1219.141923,1195.994092,1180.654,-92.23,1152.22,-99.31,-9.001968134,-0.112184084,-35719052.92,80.56,0.67
20081003,733684,1099.23,1115.16,1153.82,1098.14,671612,-34.31787522,-138.1857758,55.68,1212.125385,1186.778465,1165.069,-107.28,1129.464,-57.16,-10.23103119,-0.089355392,-31458652.14,80.61,1.1
20081006,733687,1056.89,1097.56,1097.56,1007.97,795602,-40.36083133,-199.6367344,91.26,1202.748846,1174.408135,1150.049,-198.19,1119.564,-149.62,-14.21625921,-0.11052667,-36069996.02,81.61,1.96
20081007,733688,996.23,1057.6,1072.91,996.23,706920.96,-49.47436298,-187.2886476,76.68,1191.725769,1157.438788,1130.85,-210.86,1085.538,-258.85,-20.24098315,-0.159916348,-47691567.31,81.234,2.97
20081008,733689,984.94,988.91,1021.06,970.97,871632.96,-56.9514107,-172.0389413,50.09,1180.470385,1141.010332,1110.757,-203.28,1050.314,-222.15,-21.31181593,-0.18544799,-38768475.12,81.151,2.24
20081009,733690,909.92,988.42,1005.25,909.19,681900,-68.14497902,-173.5184429,96.06,1166.429615,1119.001729,1080.831,-275.95,1009.442,-278.3,-25.02245404,-0.249866036,-57524805.06,81.4,1.4
20081010,733691,899.22,902.31,936.36,839.8,1145623.04,-76.99184902,-162.7056332,96.56,1153.444615,1098.070136,1049.452,-309.96,969.44,-286.65,-22.239037,-0.187248619,-68687735.98,82.41,0.79
20081013,733694,1003.35,912.75,1006.93,912.75,726336.96,-74.73909078,-81.4887993,107.71,1144.253846,1089.049171,1039.148,-209.66,958.732,-205.83,-16.83865032,-0.139759594,-38879330.04,81.85,0.79
20081014,733695,998.01,1009.97,1044.31,972.07,816199.04,-72.54836462,-49.98827667,72.24,1133.877692,1080.378773,1022.313,-58.88,959.088,-215,-20.48235969,-0.140432019,-44397199.87,81.56,1.1
20081015,733696,907.84,994.6,994.6,903.99,654233,-77.19827017,-90.60908562,94.02,1121.698077,1063.946509,996.991,-88.39,943.668,-198.55,-24.79102635,-0.185267617,-65929208.75,82.29,1.04
20081016,733697,946.43,909.53,947.71,865.83,798450,-76.88320164,-91.71618296,81.88,1110.713077,1052.754461,980.206,-38.51,950.97,-219.93,-20.34892528,-0.139006395,-60518506.96,82.25,0.83
20081017,733698,940.55,942.29,984.64,918.74,658178,-76.22925107,-61.03018013,65.9,1098.847692,1042.068322,964.338,30.63,959.236,-220.51,-20.68692184,-0.110077681,-43672032.37,82.36,0.6
20081020,733701,985.4,943.51,985.4,943.51,517564,-71.27040943,-33.28884815,44.85,1088.605385,1036.671339,957.189,86.18,955.646,-128.88,-18.50675664,-0.010870984,-43410190.91,83.08,0.7
20081021,733702,955.05,980.4,985.44,952.47,512183,-68.99416132,-32.33695732,32.97,1079.465,1028.897878,953.071,-48.3,947.054,-144.18,-21.26610663,-0.030347026,-33263409.7,84.729,0.67
20081022,733703,896.78,951.67,951.67,875.81,614798,-71.07283689,-98.00872683,79.24,1067.28,1016.315223,944.255,-101.23,944.842,-160.11,-15.14916406,-0.01444083,-57627648.9,85.34,0.81
20081023,733704,908.11,899.08,922.83,858.44,718418,-70.98766434,-107.5137066,64.39,1057.730769,1006.009964,944.074,0.27,937.178,-88.12,-8.845346958,0.009789563,-76327934.34,84.83,0.93
20081024,733705,876.77,895.22,896.3,852.85,655005,-72.61201445,-129.9791511,55.26,1045.048462,993.7013956,941.829,-69.66,924.422,-108.17,-10.98239487,-0.126157373,-70968910.55,86.53,0.95
20081027,733708,848.92,874.28,893.78,846.75,555805,-75.27881851,-131.6595707,47.03,1029.426923,979.9126912,926.386,-91.63,897.126,-61,-6.703886056,-0.149387281,-71259835.27,87.15,0.92
20081028,733709,940.51,848.92,940.51,845.27,709695.04,-69.20399185,-39.2881473,95.24,1019.173846,976.160054,920.636,-44.89,894.218,41.29,4.591757301,0.034736473,-53925909.18,86.15,0.67
20081029,733710,930.09,939.51,969.97,922.26,707780,-64.48708786,23.572016,47.71,1009.245769,971.7724298,922.861,-24.96,900.88,-73.26,-7.301539842,-0.01726488,-66026540.99,84.48,0.36
20081030,733711,954.09,939.38,963.23,928.5,617583,-58.14208231,32.71756241,34.73,1000.331154,970.0883888,923.627,57.31,910.076,-43.92,-4.400757507,0.014191533,-63966799.84,84.53,0.3
20081031,733712,968.75,953.11,984.38,944.59,639435,-51.3388776,70.96100498,39.79,991.0838462,969.9609232,926.447,60.64,928.472,60.91,6.709332041,-0.016896692,-31642915.68,85.59,0.22
20081103,733715,966.3,968.67,975.57,958.82,449228,-45.61911461,84.97871564,16.75,981.595,969.6122639,924.537,89.53,951.948,19.87,2.099468529,0.011642347,-46794812.53,86.3,0.23
20081104,733716,1005.75,971.31,1007.51,971.31,553129,-37.47093433,123.5739088,41.21,977.7242308,973.053953,929.607,156.83,964.996,65.2,6.932114189,0.108347005,-34247333.49,84.74,0.23
20081105,733717,952.77,1001.84,1001.84,949.86,542664,-34.88633799,61.69986868,55.89,969.5092308,971.122148,935.206,12.26,969.532,-32.63,-3.311345646,0.046873852,-32747342.14,84.57,0.23
20081106,733718,904.88,952.4,952.4,899.73,610223,-36.28408914,-31.34808659,53.04,959.6561538,964.813372,934.883,-25.21,959.69,-50.17,-5.253128108,0.031064893,-42061753.36,86.222,0.23
20081107,733719,930.99,907.44,931.46,906.9,493164,-34.88285043,-17.52445332,26.58,952.6065385,961.5920985,940.305,-23.1,952.138,34.21,3.814759473,0.088153471,-23337719.32,86.09,0.27
20081110,733722,919.21,936.75,951.95,907.47,457200,-34.32720357,-6.044668193,44.48,945.6826923,957.5557081,947.334,-49.54,942.72,11.1,1.222318882,-0.022647287,-14631392.91,85.87,0.29
20081111,733723,898.95,917.15,917.15,884.9,499834,-35.11685684,-60.9609563,34.31,939.6080769,951.9742121,943.178,-67.35,921.36,22.18,2.529739841,-0.033480631,-19159059.13,87.04,0.29
20081112,733724,852.3,893.39,893.39,850.48,576418,-39.05670648,-124.3230609,48.47,934.0723077,942.48143,935.399,-153.45,901.266,3.38,0.398152947,-0.106688048,-16355457.85,87.43,0.35
20081113,733725,911.29,853.13,913.01,818.69,784912,-36.9926376,-94.2560941,94.32,931.2396154,939.5108176,931.119,-41.48,902.548,-29.22,-3.10682502,-0.059313548,-3997741.282,86.9,0.35
20081114,733726,873.29,904.36,916.88,869.88,588103,-37.98526013,-89.99526637,47,929.8307692,933.2040731,921.573,-31.59,891.008,-56.8,-6.106935888,-0.096253751,-28017697.64,86.32,0.34
20081117,733729,850.75,873.23,882.29,848.98,492749,-40.12813807,-126.0041759,33.31,927.9665385,925.3513042,910.018,-80.24,877.316,-103.34,-10.8312633,-0.154113845,-32945156.5,86.76,0.37
20081118,733730,859.12,852.34,865.9,826.84,667947,-40.68203801,-119.0550371,39.06,922.4192308,919.043561,895.355,-60.09,869.35,-109.63,-11.31664516,-0.098292348,-15415719.92,87.11,0.38
20081119,733731,806.58,859.03,864.57,806.18,654860,-44.8436173,-131.8061186,58.39,915.0565385,908.3327456,880.736,-92.37,860.206,-159.72,-16.52902825,-0.108633189,-37196063.64,87.46,0.38
20081120,733732,752.44,805.87,820.52,747.78,909374,-51.91193593,-174.3060363,72.74,909.0796154,893.4858175,865.492,-99.86,828.436,-253.31,-25.18617947,-0.191785089,-51630529.85,88.22,0.49
20081121,733733,800.03,755.84,801.2,741.02,949590,-53.06185011,-139.6515356,60.18,903.4488462,884.5852634,852.396,-111.26,813.784,-152.74,-16.03115127,-0.129654812,-47217218.48,87.65,0.57
20081124,733736,851.81,801.2,865.6,801.2,787944,-49.22748828,-49.03353576,65.57,900.0357692,881.4638098,845.656,-21.48,813.996,-53.07,-5.86486606,-0.052438957,-24964034.66,85.867,0.62
20081125,733737,857.39,853.4,868.94,834.99,695270,-45.21723343,-17.22896667,33.95,895.1123077,879.171066,841.5,6.64,813.65,-73.6,-7.905562895,0.005936622,-12289887.43,84.77,0.59
20081126,733738,887.68,852.9,887.68,841.37,579326,-39.14370346,24.27243736,46.31,892.5211538,879.9814407,845.038,28.56,829.87,-31.53,-3.430119342,-0.025908328,-5900521.729,85.78,0.53
20081128,733740,896.24,886.89,896.25,881.21,274086,-33.25630871,70.43866625,15.04,892.5003846,881.5298749,843.533,143.8,858.63,-2.71,5.155461692,0.02560698,4266525.395,86.55,0.52
20081201,733743,816.21,888.61,888.61,815.69,605201,-34.64884777,-26.71126285,80.55,888.9657692,875.3089344,837.825,16.18,861.866,-36.09,-10.43356122,-0.040599471,-2505072.149,87.05,0.52
20081202,733744,848.81,817.94,850.54,817.94,617010,-32.74443994,-20.48272831,34.33,887.8903846,872.7852264,837.631,-3,861.266,-62.48,-2.803192525,-0.012000652,-5476476.412,86.57,0.47
20081203,733745,870.74,843.6,873.12,827.6,622188,-29.1298248,27.28425426,45.52,888.7296154,872.5904429,838.793,13.35,863.936,-2.55,2.349691449,0.073684452,5401386.838,86.7,0.36
20081204,733746,845.22,869.75,875.6,833.6,586039,-28.00168103,19.41864904,42,885.0646154,869.9837341,842.657,-42.46,855.444,-5.53,-1.617934631,0.109770237,-7462459.108,86.52,0.2
20081205,733747,876.07,844.43,879.42,818.41,616537,-24.33773157,46.56660478,61.01,882.9869231,870.5633784,855.02,-11.61,851.41,16.95,8.61538843,0.086796717,-5759097.73,86.82,0.12
20081208,733750,909.7,882.71,918.57,882.71,655360,-18.50702779,155.8848601,42.5,881.2796154,874.2906757,865.987,13.46,870.108,103.12,20.90000532,0.063636364,6485778.854,85.51,0.12
20081209,733751,888.67,906.48,916.26,885.38,569311,-15.40551311,115.464337,30.88,878.1996154,875.6601352,869.673,72.46,878.08,136.23,11.07958452,0.035198668,-11840859.04,85.84,0.13
20081210,733752,899.24,892.17,908.27,885.45,594213,-11.95679919,102.4498563,22.82,875.6203846,877.9058366,873.858,50.43,883.78,99.21,5.568143131,0.0128553,2597499.825,85.45,0.11
20081211,733753,873.59,898.35,904.63,868.73,551384,-11.16470937,55.39686631,35.9,870.5373077,877.4948045,872.449,2.85,889.454,21.78,1.889455207,-0.025272249,7445450.624,83.63,0.14
20081212,733754,879.73,871.79,883.24,851.35,595959,-9.92709245,11.02634671,31.89,867.7280769,877.7076803,870.798,34.51,890.186,22.34,-0.895593006,0.072203972,-496005.3436,83.66,0.15
20081215,733757,868.57,881.07,884.63,857.72,498239,-9.734576718,-0.261729133,26.91,866.3315385,876.837425,876.034,-7.5,881.96,-19.11,-2.152802812,0.022750037,-1078149.556,82.13,0.18
20081216,733758,913.18,871.53,914.66,871.53,600978,-5.914177478,94.1906419,46.09,865.6465385,880.2986226,882.471,3.48,886.862,16.94,1.890118718,0.046474956,17723737.83,80.35,0.17
20081217,733759,904.42,908.16,918.85,895.94,590738,-3.552392575,97.44638167,22.91,865.0776923,882.5958967,885.839,15.75,887.898,88.21,10.80726774,0.065456315,28410211.95,78.49,0.12
20081218,733760,885.28,905.98,911.02,877.44,567500,-3.188345798,48.69798247,33.58,864.5519231,882.8515256,889.845,-13.96,890.236,36.47,4.29660348,0.010403488,9637665.566,79.78,0.11
20081219,733761,887.88,886.96,905.47,883.02,670531,-2.659382132,43.69923043,22.45,865.9203846,883.3304279,891.026,14.29,891.866,17.14,1.968440637,-0.023985929,19093610.41,81.1,0.11
20081222,733764,871.63,887.2,887.37,857.09,486985,-3.510941857,-41.99986189,30.79,864.395,882.2161014,887.219,-8.1,892.478,26.41,3.124630274,-0.019174722,21972173.99,81.26,0.11
20081223,733765,863.16,874.31,880.44,860.1,405197,-4.813777062,-65.50479273,20.34,864.0053846,880.4012346,884.668,-5.41,882.474,-12.91,-1.473626537,-0.04012277,15270969.57,81.45,0.11
20081224,733766,868.15,863.87,869.79,861.44,154655,-5.381596358,-82.19336992,8.35,864.6746154,879.2344504,881.559,-45.03,875.22,-41.55,-4.567439815,-0.006227178,30118442.04,80.98,0.11
20081226,733768,872.8,869.51,873.74,866.52,188005,-5.394200122,-69.77010671,7.22,865.2007692,878.6216456,881.48,-12.48,872.724,-15.87,-2.940260665,-0.007877417,46682634.33,81.13,0.09
20081229,733771,869.42,872.37,873.7,857.07,332343,-5.612232129,-80.54318707,16.63,867.6176923,877.7452984,880.449,-18.46,869.032,-29.82,-0.477340629,0.000977663,29990620.07,81.53,0.1
20081230,733772,890.64,870.58,891.12,870.58,362780,-4.026334333,15.12213215,21.7,872.9330769,878.9733652,882.656,19.01,872.834,17.05,1.240153229,-0.024682976,23092162.01,80.94,0.09
20081231,733773,903.25,890.59,910.32,889.67,417294,-1.732011736,105.9895631,20.65,876.9030769,881.2854257,881.663,40.09,880.852,23.52,3.992769725,-0.001293647,27467118.5,81.17,0.14
20090102,733775,931.8,902.99,934.73,899.35,404827,2.36276536,165.3966553,35.38,879.9796154,886.0963375,884.401,68.64,893.582,63.23,7.27978171,0.049924877,25966400.11,81.48,0.08
20090105,733778,927.45,929.17,936.63,919.53,541391,5.196989406,151.8854319,17.1,882.6742308,890.0347815,888.618,59.3,904.512,14.27,1.562671105,0.042665373,21109066.63,82.55,0.11
20090106,733779,934.7,931.17,943.85,927.28,539262,7.936657939,147.2597586,16.57,884.4826923,894.2886119,893.3,66.55,917.568,30.28,3.348002034,0.067476196,36718428,82.78,0.09
20090107,733780,906.65,927.45,927.45,902.37,470494,7.755068808,60.18132448,32.33,884.8830769,895.4658869,896.802,33.85,920.77,21.37,2.413925538,0.047967794,15210473.9,82.17,0.11
20090108,733781,909.73,905.73,910,896.81,499155,7.770119274,38.47972977,13.19,888.48,896.8243739,901.459,40.31,922.066,21.85,2.460918142,0.045705869,10272714.95,81.58,0.1
