Ntime,Time,Open Price,Closing Price,High price,Low Price,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA5,MA10,MTM6,MTM12,ROC,SMI,WVAD,US dollar Index,Federal Fund Rate
20130114,735248,13488.43,13507.32,13520.18,13459.84,118461521,99.23643422,91.94232048,60.34,13259.28923,13304.21354,13437.266,13391.388,72.11,368.24,2.802631539,0.029849,1945973.868,79.49,0.14
20130115,735249,13507.32,13534.89,13546.37,13445.8,102276389,105.1039814,89.09784376,100.57,13277.01423,13326.18273,13478.474,13434.463,150.6,395.81,3.012463582,0.009038862,1910606.6,79.73,0.15
20130116,735250,13534.89,13511.23,13534.89,13468.96,118543277,106.615889,80.77563299,65.93,13290.71038,13343.80628,13502.618,13444.331,182.38,396.64,3.024417843,0.008871879,771400.8241,79.79,0.14
20130117,735251,13511.23,13596.02,13633.89,13510.24,183899050,113.3493107,114.1699725,123.65,13307.10038,13367.82663,13527.578,13464.797,205.51,499.71,3.815654944,0.011827726,2089947.538,79.67,0.14
20130118,735252,13596.02,13649.7,13649.93,13571.86,260898533,121.6152188,137.71971,78.07,13322.53346,13394.67172,13559.832,13486.246,178.48,711.59,5.499953239,0.019444383,4493820.868,80.05,0.14
20130122,735256,13649.7,13712.21,13712.21,13622.96,144299713,131.6919819,166.9402158,89.25,13340.48577,13424.91346,13600.81,13519.038,204.89,277,2.061746709,0.027957565,6089568.299,79.85,0.14
20130123,735257,13712.21,13779.33,13794.29,13710.13,104493949,143.4404204,183.5148529,84.16,13363.89385,13458.66741,13649.698,13564.086,244.44,395.04,2.951520028,0.028217627,5616736.58,79.91,0.13
20130124,735258,13779.33,13825.33,13879.66,13779.33,124778399,154.6799045,168.6051584,100.33,13390.44462,13493.58766,13712.518,13607.568,314.1,496.48,3.724852482,0.025613132,4876784.865,79.97,0.15
20130125,735259,13825.33,13895.98,13895.98,13825.33,130303967,167.3589316,148.6794474,70.65,13415.85192,13531.91074,13772.51,13650.044,299.96,505.47,3.774837553,0.029328626,7573149.559,79.75,0.14
20130128,735262,13895.98,13881.93,13915.72,13862.57,113574642,174.2646202,126.373731,53.15,13436.27385,13565.24591,13818.956,13689.394,232.23,410.71,3.048795877,0.026985441,6482647.438,79.79,0.14
20130129,735263,13881.93,13954.42,13969.99,13880.01,108234134,183.4718165,122.495835,89.98,13463.29115,13602.31011,13867.398,13734.104,304.72,465.99,3.454738617,0.030064309,9981012.021,79.53,0.12
20130130,735264,13954.42,13910.42,13966.13,13896.95,117195528,185.0846134,100.9917363,69.18,13486.31808,13631.65391,13893.616,13771.657,198.21,403.1,2.984307768,0.028697192,9629661.636,79.26,0.12
20130131,735265,13910.42,13860.58,13941.06,13860.58,142597972,180.2631339,73.65732733,80.48,13512.07731,13653.45639,13900.666,13806.592,81.25,325.69,2.406299571,0.019087224,8943133.901,79.24,0.15
20130201,735266,13860.58,14009.79,14019.78,13860.58,128420423,186.3341328,93.2133143,159.2,13545.56615,13687.39293,13923.428,13847.969,184.46,498.56,3.689967531,0.025702741,10251950.57,79.21,0.14
20130204,735269,14009.79,13880.08,14009.79,13866.83,130420999,178.619911,66.20150027,142.96,13575.00808,13705.74408,13923.058,13871.007,-15.9,284.06,2.089287895,0.012094311,9869095.165,79.57,0.13
20130205,735270,13880.08,13979.3,14013.6,13880.08,134391789,178.4554363,77.70323314,133.52,13608.96923,13731.79702,13928.034,13897.716,97.37,329.6,2.414705085,0.014304722,9794017.681,79.52,0.13
20130206,735271,13979.3,13986.52,13991.61,13913.18,127561087,176.8688486,77.61267752,78.43,13649.29269,13756.05635,13943.254,13918.435,32.1,336.82,2.467600021,0.011524668,8297982.098,79.76,0.13
20130207,735272,13986.52,13944.05,13988.06,13852.2,118525060,170.2222758,50.20806405,135.86,13681.59692,13773.96051,13959.948,13930.307,33.63,231.84,1.690755903,0.003447349,8315655.572,80.22,0.13
20130208,735273,13944.05,13992.97,14022.62,13944.05,99859739,166.9774422,100.3357917,78.57,13703.92077,13794.81856,13956.584,13940.006,132.39,213.64,1.550438229,0.007935413,8267124.579,80.23,0.14
20130211,735276,13992.97,13971.24,13992.97,13940.41,75085674,160.7988695,78.32686228,52.56,13726.22385,13811.6206,13974.816,13948.937,110.66,191.91,1.392738254,0.001203902,8588537.846,80.36,0.14
20130212,735277,13971.24,14018.7,14038.97,13968.94,117181006,157.9116246,135.8950328,70.03,13748.66577,13831.34245,13982.696,13955.365,158.12,239.37,1.737167192,0.007723969,10129285.75,80.04,0.13
20130213,735278,14018.7,13982.91,14029.35,13945.78,130519165,150.9949327,85.39548277,83.57,13771.68962,13845.77745,13981.974,13962.614,122.33,203.58,1.477430325,0.008748537,8717840.685,80.07,0.14
20130214,735279,13982.91,13973.39,13990.36,13921.94,114799766,143.095702,30.17625249,68.42,13796.47962,13857.93103,13987.842,13973.895,112.81,194.06,1.408341334,-0.002598183,7452764.686,80.37,0.14
20130215,735280,13973.39,13981.76,14001.93,13906.73,195667218,135.943818,25.67222528,95.2,13819.22,13869.72426,13985.6,13971.092,121.18,202.43,1.469084491,0.007272332,7267880.323,80.46,0.16
20130219,735284,13981.76,14035.67,14044.82,13977.9,136412866,133.0917856,152.1449463,66.92,13840.92962,13885.52862,13998.486,13986.651,155.59,139.69,1.005254757,0.004016196,7995952.198,80.47,0.15
20130220,735285,14035.67,13927.54,14058.27,13919.28,138543609,120.7148169,15.52899435,138.99,13857.81846,13889.5297,13980.254,13981.475,-51.76,45.61,0.32855662,-0.004216917,6637747.134,81.04,0.15
20130221,735286,13927.54,13880.62,13927.54,13834.4,131408649,105.8991881,-230.6491154,93.14,13872.17615,13888.68116,13959.796,13970.885,-105.9,-73.8,-0.528864689,-0.004548894,6401176.716,81.37,0.16
20130222,735287,13880.62,14000.57,14001.19,13880.62,139846017,102.6533344,-4.381513332,120.57,13890.08692,13899.33724,13965.232,13976.537,56.52,90.15,0.648075328,0.000542835,6531402.363,81.46,0.16
20130225,735290,14000.57,13784.17,14081.58,13784.01,152188958,81.67777001,-188.6674396,297.57,13900.58462,13888.36893,13925.714,13955.657,-208.8,-76.41,-0.551275632,-0.013389649,3630740.802,81.8,0.15
20130226,735291,13784.17,13900.13,13918.44,13784.17,132592734,73.56349282,-157.8117189,134.27,13912.28115,13889.48903,13898.606,13948.546,-81.63,-109.66,-0.782738357,-0.008457988,3765191.507,81.84,0.14
20130227,735292,13900.13,14075.37,14104.86,13880.19,107009526,80.347082,108.5262028,224.67,13928.65308,13907.19198,13928.172,13954.213,39.7,195.29,1.406980363,0.006568921,3766484.385,81.54,0.14
